intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
1,74.75233229696853,430.5477600097656,0.0772226549460331,good,bad,bad
2,3.401879699248127,554.8305053710938,0.7003257328990228,bad,good,bad
3,61.19254650104651,221.9999237060547,0.1368727272727272,good,bad,good
4,-2.8952298850574607,316.84686279296875,0.7244897959183674,bad,good,good
5,43.6764285714286,632.1452026367188,0.5727554179566563,good,good,bad
1,33.89466777576126,626.7340087890625,0.5622254758418741,good,good,bad
2,30.397528046718943,458.2119140625,0.5085959885386819,good,bad,bad
3,21.371642857142888,127.7045669555664,0.5740402193784278,bad,good,good
4,8.9001056085919,366.9645690917969,0.5847619047619048,bad,good,good
5,17.531315789473695,269.8557434082031,0.6096654275092936,bad,good,good
1,24.00661026508746,49.86181640625,0.6755555555555556,bad,good,good
2,22.223966346153876,92.8581085205078,0.5922077922077922,bad,good,good
3,33.9030489985694,29.75417137145996,0.5319148936170213,good,bad,good
4,30.40180667433833,39.19480895996094,0.6185185185185185,good,good,good
5,45.44750463821893,32.458988189697266,0.6171171171171171,good,good,good
1,29.100000000000023,217.23899841308597,0.6229508196721312,good,good,good
2,-30.199685828876994,383.1502380371094,0.121424161350072,bad,bad,good
3,-6.122759216589856,244.6964874267578,0.7148760330578512,bad,good,good
4,5.629013704318936,433.4605102539063,0.7283950617283951,bad,good,bad
5,0.2312979664014278,371.612060546875,0.7398568019093079,bad,good,good
1,-8.164071428571418,356.9364624023437,0.6533333333333333,bad,good,good
2,29.68682508833922,767.3378295898438,0.6702619414483821,good,good,bad
3,15.74875436122042,394.2051696777344,0.5821256038647343,bad,good,good
4,31.53925871015568,514.4151000976562,0.6947115384615384,good,good,bad
5,3.324615384615413,186.3779296875,0.6685552407932012,bad,good,good
1,-0.1977631578947125,188.86412048339844,0.6745406824146981,bad,good,good
2,34.527930062041776,198.0108795166016,0.5774946921443737,good,good,good
3,73.85176346941034,108.91668701171876,0.2879647132955261,good,bad,good
4,20.207773654916537,88.99920654296875,0.6193771626297578,bad,good,good
5,10.069406612529008,183.5465240478516,0.626,bad,good,good
1,-11.500683060109251,427.5719604492188,0.7167487684729064,bad,good,bad
2,91.10444321846887,340.7969665527344,0.1009294410263123,good,bad,good
3,15.92225217391308,117.24838256835938,0.5803212851405622,bad,good,good
4,45.59318034682085,222.60446166992188,0.6448598130841121,good,good,good
5,18.59784158415846,327.9762268066406,0.6565874730021598,bad,good,good
1,25.730174825174828,481.7668151855469,0.6747252747252748,good,good,bad
2,42.690933376247216,712.75146484375,0.7564575645756457,good,good,bad
3,11.719539325842732,368.0259704589844,0.6817102137767221,bad,good,good
4,26.72309032430985,587.3569946289062,0.6184971098265896,good,good,bad
