intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
1,24.98294572311923,153.17929077148438,0.3773250664304694,bad,bad,good
2,24.72198863636368,396.9988708496094,0.6382978723404256,bad,good,good
3,17.427381189213094,105.22819519042967,0.4848484848484848,bad,bad,good
4,47.072737807822335,414.2998046875,0.6578313253012048,good,good,good
5,45.91692223439213,308.3025207519531,0.6358208955223881,good,good,good
1,27.48590543504756,673.0700073242188,0.7012048192771084,bad,good,bad
2,-28.48968749999997,464.59661865234375,0.7041564792176039,bad,good,bad
3,72.67509994825569,346.6480407714844,0.3369384359400998,good,bad,good
4,40.702205112219474,462.1954040527344,0.6271186440677966,good,good,bad
5,46.215691149490766,411.1935119628906,0.6147260273972602,good,good,good
1,9.33441558441561,386.5234069824219,0.6414141414141414,bad,good,good
2,49.41158423385983,309.2508544921875,0.6179540709812108,good,good,good
3,36.649466019417474,272.2540588378906,0.5633187772925764,good,good,good
4,7.868582310622088,386.6161193847656,0.6680327868852459,bad,good,good
5,58.20401312253955,362.9694213867188,0.4158354114713217,good,bad,good
1,3.252516129032273,233.4271240234375,0.7047970479704797,bad,good,good
2,44.18850335070738,522.4375,0.7519083969465649,good,good,bad
3,38.81996530488337,307.2200622558594,0.0692431561996779,good,bad,good
4,34.88645604395606,123.62857818603516,0.6677018633540373,bad,good,good
5,71.88742042540353,335.2401123046875,0.4886260236578708,good,bad,good
1,-9.368600445875645,376.52142333984375,0.7251908396946565,bad,good,good
2,16.69619143961873,19.281494140625,0.3498950314905528,bad,bad,good
3,-77.34772727272725,518.085205078125,0.7341040462427746,bad,good,bad
4,10.888611111111146,809.3765258789062,0.7020057306590258,bad,good,bad
5,32.263317805383025,548.9169311523438,0.5725646123260437,bad,good,bad
1,91.7496171875,53.39497756958008,0.1194824961948249,good,bad,good
2,42.09736842105266,454.2408447265625,0.7181818181818181,good,good,bad
3,40.952915254237325,254.021484375,0.7475728155339806,good,good,good
4,34.676555269922886,516.1495361328125,0.7037815126050421,bad,good,bad
5,50.91351377952759,101.42237091064452,0.5192629815745393,good,bad,good
1,35.51960122699387,601.5653686523438,0.5125223613595706,bad,bad,bad
2,18.863143529411783,448.5103454589844,0.6103225806451613,bad,good,bad
3,3.996168831168859,938.7343139648438,0.803030303030303,bad,good,bad
4,93.33284076561948,429.6666870117188,0.1175054177702865,good,bad,good
5,39.01078313253012,310.2691345214844,0.6775818639798489,good,good,good
1,31.042948324681475,392.12493896484375,0.5131578947368421,bad,bad,good
2,25.29068448500655,252.4549560546875,0.6742424242424242,bad,good,good
3,14.51912128712874,330.38531494140625,0.684931506849315,bad,good,good
4,8.155759641605016,418.0705871582031,0.6186943620178041,bad,good,good
5,16.490391752577352,301.84747314453125,0.713855421686747,bad,good,good
1,17.152500000000032,718.3621826171875,0.8339350180505415,bad,good,bad
