intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
1,1.8108333333333348,311.792724609375,0.6007462686567164,bad,good,good
2,-8.94973684210521,504.68267822265625,0.7351485148514851,bad,good,bad
3,19.39739202888489,307.74188232421875,0.6026490066225165,bad,good,good
4,-1.2675225225224835,366.653076171875,0.6438152011922503,bad,good,good
5,65.5561724565757,152.15423583984375,0.5435356200527705,good,good,good
1,24.09813207547171,324.58935546875,0.6277128547579299,bad,good,good
2,-0.3169470003680317,421.8704223632813,0.6618819776714514,bad,good,bad
3,10.87846153846155,396.6783142089844,0.6541850220264317,bad,good,bad
4,68.4767131655331,483.3750305175781,0.5128939828080229,good,bad,bad
5,50.10802424242426,288.4032287597656,0.4177419354838709,good,bad,good
1,46.99182894736845,326.4319152832031,0.5915915915915916,good,good,good
2,44.43294117647062,368.7643127441406,0.5622817229336438,good,good,good
3,45.8233004694836,399.17669677734375,0.7147239263803681,good,good,bad
4,78.68423913043482,35.774147033691406,0.5631067961165048,good,good,good
5,42.67275069112844,384.15716552734375,0.611183355006502,good,good,good
1,41.9299180327869,230.1644744873047,0.5987780040733197,good,good,good
2,27.713027444253868,247.16378784179688,0.6465753424657534,bad,good,good
3,16.864427710843387,11.979161262512209,0.6023391812865497,bad,good,good
4,22.423592074592108,316.5478515625,0.7069486404833837,bad,good,good
5,41.68605903790089,392.03857421875,0.6641414141414141,good,good,bad
1,43.6921995315474,480.6174926757813,0.5907692307692308,good,good,bad
2,90.0993049417716,478.4308471679688,0.1328467153284671,good,bad,bad
3,30.6950255754476,578.9794921875,0.683982683982684,bad,good,bad
4,61.36969621854488,472.6002197265625,0.410126582278481,good,bad,bad
5,15.295000000000044,346.14410400390625,0.6516587677725119,bad,good,good
1,46.01695031410625,331.4382629394531,0.5890052356020943,good,good,good
2,17.335000000000036,256.711181640625,0.6461538461538462,bad,good,good
3,42.71033957219254,20.78241539001465,0.463063063063063,good,bad,good
4,15.836741996233542,477.5918273925781,0.7391304347826086,bad,good,bad
5,31.19670731707319,475.9089050292969,0.5135135135135135,bad,bad,bad
1,22.77916272965882,50.89344787597656,0.5736196319018405,bad,good,good
2,55.13793335143208,553.0670776367188,0.4428571428571428,good,bad,bad
3,36.90179487179489,318.5455017089844,0.4590495449949444,good,bad,good
4,65.34960902484664,303.5040588378906,0.4195736434108527,good,bad,good
5,49.64409308755762,147.13832092285156,0.5,good,bad,good
1,35.64900562851784,342.4446716308594,0.6990521327014217,good,good,good
2,91.93288958858103,308.4580993652344,0.1176150285869861,good,bad,good
3,50.50261291779586,375.7826232910156,0.5444711538461539,good,good,good
4,51.25339325842697,420.2022705078125,0.7242524916943521,good,good,bad
5,76.76372039724984,289.4018249511719,0.585278276481149,good,good,good
1,51.70686458333336,21.146381378173828,0.4859813084112149,good,bad,good
2,33.465663366336656,45.94072723388672,0.5798319327731093,bad,good,good
3,42.27420201294035,23.266340255737305,0.5836575875486382,good,good,good
4,27.281703296703316,95.70752716064452,0.6693227091633466,bad,good,good
5,39.96545454545458,67.99617004394531,0.5594855305466238,good,good,good
1,27.077154651631105,399.6021423339844,0.6492374727668845,bad,good,bad
2,16.747663606751587,471.0554809570313,0.6964769647696477,bad,good,bad
3,47.30950280302886,354.4926147460937,0.4453621346886912,good,bad,good
4,5.435840798045632,377.0910034179688,0.6246290801186943,bad,good,good
5,77.83526262626263,233.8781280517578,0.0888188608776844,good,bad,good
1,19.292708333333337,130.33389282226562,0.6373626373626373,bad,good,good
2,21.77117048517522,67.66348266601562,0.5051546391752577,bad,bad,good
3,29.301932773109257,46.5113525390625,0.5428571428571428,bad,good,good
4,28.96630434782611,44.486576080322266,0.5760517799352751,bad,good,good
5,22.9205918367347,40.50410842895508,0.5763688760806917,bad,good,good
1,31.6142307692308,432.2738952636719,0.5843881856540084,bad,good,bad
2,49.35771138211382,484.6321411132813,0.6406035665294925,good,good,bad
3,47.85777147703868,441.1666564941406,0.4707933740191805,good,bad,bad
4,95.46434998803691,182.49090576171875,0.0413924856718318,good,bad,good
5,33.1792681538812,607.3621826171875,0.6899563318777293,bad,good,bad
1,12.088958333333352,375.574462890625,0.75,bad,good,good
2,10.084942159383075,304.3977355957031,0.6386363636363637,bad,good,good
3,22.035505681818197,464.8162231445313,0.7477203647416414,bad,good,bad
