intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
1,-20.51098598130838,141.56700134277344,0.6005830903790087,bad,good,good
2,10.80123755656112,37.438907623291016,0.4959514170040486,good,good,good
3,-22.49159863945573,463.8880310058594,0.4588045234248788,bad,bad,good
4,-5.453181818181804,65.97376251220703,0.5941320293398533,bad,good,good
5,-6.64796909190369,471.8063049316406,0.6790123456790124,bad,good,good
1,33.46867924528303,14.70561408996582,0.4589235127478753,good,bad,good
2,36.5297782874618,28.22218513488769,0.4808743169398907,good,good,good
3,-36.19852147239263,744.65234375,0.42143906020558,bad,bad,bad
4,-40.79194686411148,510.88037109375,0.519327731092437,bad,good,bad
5,18.95371207087487,32.13597106933594,0.553314121037464,good,good,good
1,17.47268603712672,45.25123977661133,0.4074074074074074,good,bad,good
2,3.998034759358319,165.95089721679688,0.2674858223062382,good,bad,good
3,34.63300000000004,27.115009307861328,0.3223684210526316,good,bad,good
4,-6.4970483629715545,284.8282775878906,0.375,bad,bad,good
5,-190.94808361113613,308.0715026855469,0.2272579067492663,bad,bad,good
1,-1.0183333333333169,504.5753784179688,0.5503597122302158,bad,good,bad
2,7.030875000000009,241.1399078369141,0.6412776412776413,good,good,good
3,-27.23847826086956,537.665771484375,0.4133738601823708,bad,bad,bad
4,40.058825910931176,53.14999771118164,0.5940298507462687,good,good,good
5,35.60025288620122,13.796815872192385,0.445054945054945,good,bad,good
1,11.10182966852642,156.39312744140625,0.4429065743944637,good,bad,good
2,39.62036199095027,8.26176929473877,0.396551724137931,good,bad,good
3,1.3236453201970733,367.767578125,0.6166281755196305,good,good,good
4,-16.676809651474514,375.3171997070313,0.6132315521628499,bad,good,good
5,36.5499404761905,36.14718246459961,0.5449591280653951,good,good,good
1,-60.25065298507462,819.9299926757812,0.6647230320699709,bad,good,bad
2,11.481154791154808,246.4618988037109,0.6778711484593838,good,good,good
3,18.454136253041383,354.9993896484375,0.5674418604651162,good,good,good
4,-21.87153846153845,288.9495544433594,0.5659090909090909,bad,good,good
5,1.6129640947288235,91.96990966796876,0.5774278215223098,good,good,good
1,40.71179130062143,23.184558868408203,0.5109489051094891,good,good,good
2,26.10167493796527,49.68875503540039,0.535377358490566,good,good,good
3,3.3406097560975923,633.4755859375,0.8015564202334631,good,good,bad
4,-45.25108050847453,635.1818237304688,0.755700325732899,bad,good,bad
5,9.690553278688554,262.2396240234375,0.6921052631578948,good,good,good
1,27.45643860946745,15.601032257080078,0.493573264781491,good,good,good
2,23.18375921375923,28.427026748657227,0.564179104477612,good,good,good
3,36.28839130434784,110.49095153808594,0.6949152542372882,good,good,good
4,-5.531293371135376,374.80572509765625,0.3838862559241706,bad,bad,good
5,-0.17034061135368,426.9963989257813,0.6721311475409836,bad,good,good
1,56.21901098901101,36.284576416015625,0.5748663101604278,good,good,good
2,36.86471478060048,347.6256408691406,0.558695652173913,good,good,good
3,37.06560439560442,238.57090759277344,0.5845213849287169,good,good,good
4,16.706537216828508,449.0960998535156,0.3992932862190813,good,bad,good
5,4.621944444444466,314.3700561523437,0.7298850574712644,good,good,good
1,-7.07006294964026,230.29379272460935,0.694078947368421,bad,good,good
2,22.556356589147327,18.752742767333984,0.4564643799472295,good,bad,good
3,16.60846153846157,406.2218017578125,0.5868131868131868,good,good,good
4,-21.21262293818404,479.5955200195313,0.3252427184466019,bad,bad,good
5,-21.391800904977345,312.2413024902344,0.6152173913043478,bad,good,good
1,-94.25334356552536,473.8428955078125,0.3651162790697674,bad,bad,good
2,-72.07241130820395,866.99462890625,0.1243160428977894,bad,bad,bad
3,-31.792695783132515,541.2134399414062,0.5846867749419954,bad,good,bad
4,-7.422476708074527,745.6632080078125,0.6477611940298508,bad,good,bad
5,34.29593167701866,665.565185546875,0.5644444444444444,good,good,bad
1,25.081158536585377,19.34639358520508,0.578125,good,good,good
2,-23.698684210526267,690.2425537109375,0.699228791773779,bad,good,bad
3,26.94988786591128,27.393495559692383,0.5958005249343832,good,good,good
4,17.051875000000024,30.546314239501957,0.5933014354066986,good,good,good
5,-11.422658296943212,452.5976867675781,0.6257796257796258,bad,good,good
1,-24.15293307086614,431.449951171875,0.590566037735849,bad,good,good
2,-61.80622168284786,664.4508666992188,0.6011342155009451,bad,good,bad
3,-27.43730769230765,689.2943115234375,0.6185567010309279,bad,good,bad
4,5.184090909090912,51.71864700317383,0.6103448275862069,good,good,good
5,-35.05652173913043,609.7056274414062,0.6155660377358491,bad,good,bad
1,-3.9005882352940944,292.8348693847656,0.6123076923076923,bad,good,good
2,-20.20788235294117,409.5011901855469,0.6192660550458715,bad,good,good
3,-62.45447069242391,572.0328369140625,0.0796708434636244,bad,bad,bad
4,-14.079180327868812,496.7457885742188,0.675,bad,good,bad
5,-106.55728621291442,969.8157958984376,0.410025706940874,bad,bad,bad
1,23.025152037617573,62.59359359741211,0.5446685878962536,good,good,good
2,19.031917938931315,152.57701110839844,0.4834123222748815,good,good,good
3,8.478244865718835,199.88455200195312,0.5924276169265034,good,good,good
4,24.4045721925134,23.014219284057617,0.4891640866873065,good,good,good
5,-2.3718091664432848,533.0834350585938,0.3103057757644394,bad,bad,bad
1,11.039149659863966,194.10305786132807,0.5529865125240848,good,good,good
2,-47.20296360485264,416.34912109375,0.5329949238578681,bad,good,good
3,8.71865671641794,245.57232666015625,0.5567375886524822,good,good,good
4,13.341739130434831,169.7881622314453,0.7212389380530974,good,good,good
5,-34.267499999999984,514.829345703125,0.7115987460815048,bad,good,bad
1,26.05352554918821,152.02761840820312,0.5590551181102362,good,good,good
2,33.67518807148798,137.84506225585938,0.5070754716981132,good,good,good
3,42.65589454269286,259.8897399902344,0.5753803596127247,good,good,good
4,33.41435495538943,12.625112533569336,0.4581005586592179,good,bad,good
5,-19.330881895881877,407.8076477050781,0.5551782682512734,bad,good,good
1,-24.541411322248592,675.90869140625,0.7162471395881007,bad,good,bad
2,14.606666666666712,62.53756713867188,0.5458937198067633,good,good,good
3,5.968386929460593,638.0018310546875,0.4701195219123506,good,good,bad
4,-5.229166666666657,546.6054077148438,0.6146993318485523,bad,good,bad
5,-72.93387192118223,540.3197021484375,0.5160771704180064,bad,good,bad
1,23.315344401577875,228.7646942138672,0.3562559694364852,good,bad,good
2,4.246761036468342,417.3966979980469,0.5496323529411765,good,good,good
3,-19.28490651558073,417.2649841308594,0.4677640603566529,bad,good,good
4,30.560152531009063,19.28211975097656,0.5702479338842975,good,good,good
5,33.99512171372933,50.914337158203125,0.5348837209302325,good,good,good
1,9.556219239373632,252.4780731201172,0.5982905982905983,good,good,good
2,29.75061085972854,191.68212890625,0.6358839050131926,good,good,good
3,-7.070966680378405,231.3406982421875,0.545144804088586,bad,good,good
4,9.571523109243714,234.3141326904297,0.6876640419947506,good,good,good
5,6.827155576382396,406.6813354492188,0.4015984015984016,good,bad,good
1,22.85021665250642,76.3597640991211,0.5162689804772235,good,good,good
2,-72.82546082949307,915.2302856445312,0.4104308390022675,bad,bad,bad
3,-14.87665229885053,894.8214111328125,0.3232217573221757,bad,bad,bad
4,-8.398680146235904,583.7821044921875,0.3788587464920486,bad,bad,bad
