intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
1,-4.704279985417401,262.75018310546875,0.5067064083457526,bad,good,good
2,6.838906171914061,359.6412658691406,0.4858757062146893,good,good,good
3,-5.520021687697096,102.1634521484375,0.6228070175438597,bad,good,good
4,-65.88681818181811,398.8397521972656,0.6043795620437956,bad,good,good
5,-88.24623966942147,948.5338745117188,0.271505376344086,bad,bad,bad
1,18.50953740157485,157.16763305664062,0.5671641791044776,good,good,good
2,9.195649038461568,108.83035278320312,0.5771971496437055,good,good,good
3,43.7661930888768,307.7369079589844,0.3657786885245901,good,bad,good
4,-85.36912350597605,707.7405395507812,0.2786458333333333,bad,bad,bad
5,36.732500000000016,10.433658599853516,0.4434589800443459,good,bad,good
1,37.68092491994632,226.9261016845703,0.0403722802163249,good,bad,good
2,-14.972098684210494,348.39678955078125,0.466796875,bad,good,good
3,-6.356688311688259,271.13848876953125,0.4479830148619957,bad,bad,good
4,-4.778055555555511,217.8623504638672,0.5263157894736842,bad,good,good
5,-16.21817647058822,315.2462463378906,0.5581395348837209,bad,good,good
1,-0.4223947368420795,293.5316162109375,0.6540880503144654,bad,good,good
2,3.585181209602979,257.4747009277344,0.6858638743455497,good,good,good
3,34.31428571428572,39.82939147949219,0.5384615384615384,good,good,good
4,20.744147157190667,448.49603271484375,0.4440619621342513,good,bad,good
5,-20.526572580645137,520.95458984375,0.7798165137614679,bad,good,bad
1,40.82714285714289,27.1876163482666,0.4964539007092198,good,good,good
2,30.876955109699797,94.2252426147461,0.5732484076433121,good,good,good
3,-55.306240726528486,522.9833374023438,0.129580657347941,bad,bad,bad
4,20.10331923890064,283.0882263183594,0.5030425963488844,good,good,good
5,-6.463515927490306,306.8021240234375,0.3053830227743271,bad,bad,good
1,52.58274248120304,19.769439697265625,0.5074946466809421,good,good,good
2,20.55012820512823,219.74053955078125,0.6330935251798561,good,good,good
3,-44.46329118007611,279.09619140625,0.2222986923606331,bad,bad,good
4,19.281775980832634,266.6736755371094,0.6211340206185567,good,good,good
5,33.3038235294118,193.1929626464844,0.4984709480122324,good,good,good
1,7.883973634651625,539.9598999023438,0.5650406504065041,good,good,bad
2,-1.681627906976729,373.8896484375,0.6171171171171171,bad,good,good
3,9.480710041592433,524.3729858398438,0.4962025316455696,good,good,bad
4,35.412000000000035,49.52812576293945,0.5830618892508144,good,good,good
5,-141.21459183673466,643.9280395507812,0.2162883845126836,bad,bad,bad
1,-38.32788283985988,481.1258544921875,0.6964769647696477,bad,good,good
2,-45.11215415821499,576.3355102539062,0.498046875,bad,good,bad
3,27.58787390029326,28.724233627319336,0.5375375375375375,good,good,good
4,-109.68094736842104,599.029541015625,0.07673568818514,bad,bad,bad
5,-124.43872468916511,962.7276000976562,0.2973684210526315,bad,bad,bad
1,47.0788360655738,49.23193740844727,0.56,good,good,good
2,48.120579029734,366.7815856933594,0.56,good,good,good
3,39.93520884520888,49.511016845703125,0.5576407506702413,good,good,good
4,-7.52750791271032,608.9014282226562,0.5292397660818714,bad,good,bad
5,-40.494337349397554,704.3140258789062,0.5861561119293078,bad,good,bad
1,-27.738214285714264,362.9666442871094,0.5484460694698354,bad,good,good
2,-37.11503164556959,321.6273803710937,0.4523160762942779,bad,bad,good
3,-59.1860144927536,679.5604858398438,0.4611032531824611,bad,good,bad
4,-10.576240310077466,551.7987060546875,0.1947756956274844,bad,bad,bad
5,11.614101059494716,35.00813293457031,0.5077951002227171,good,good,good
1,-9.77647810637322,651.122802734375,0.4791386271870794,bad,good,bad
2,11.96438778722066,339.2713928222656,0.741424802110818,good,good,good
3,-15.218649296675151,596.8215942382812,0.7177615571776156,bad,good,bad
4,-27.663917355371893,585.284423828125,0.7400530503978779,bad,good,bad
