intensity,readability,perplexity,lex_diversity,word_count,bleu
1,23.87,7.704883575439453,0.4152334152334152,407,
2,-58.13,617.8667602539062,0.6378504672897196,428,
3,-44.18,610.2000732421875,0.41448382126348227,649,
4,-52.78,671.00537109375,0.4647887323943662,781,
5,37.54,57.85227584838867,0.6134453781512605,357,
1,29.28,12.490628242492676,0.5333333333333333,360,
2,39.87,13.143524169921875,0.4732620320855615,374,
3,42.21,16.2481746673584,0.4893048128342246,374,
4,17.81,74.0307846069336,0.6270270270270271,370,
5,29.48,36.613224029541016,0.527363184079602,402,
1,5.46,129.7218017578125,0.4567307692307692,624,
2,4.61,39.60616683959961,0.4855305466237942,311,
3,-116.7,326.18310546875,0.10758562723261189,4759,
4,22.95,34.08114242553711,0.41019955654101997,451,
5,-29.27,209.08303833007812,0.6122994652406417,374,
1,21.7,309.9058532714844,0.5947136563876652,454,
2,1.94,357.89154052734375,0.5857142857142857,350,
3,14.8,167.3822784423828,0.7261904761904762,252,
4,18.22,286.74249267578125,0.6721311475409836,366,
5,-23.94,526.3974609375,0.4697885196374622,662,
1,30.74,145.2654571533203,0.5850515463917526,388,
2,12.47,417.6260681152344,0.5702970297029702,505,
3,-42.56,518.4039916992188,0.6437389770723104,567,
4,-50.24,639.6921997070312,0.35327635327635326,1053,
5,-29.97,424.556640625,0.6546610169491526,472,
1,20.86,81.01457214355469,0.7087378640776699,309,
2,35.31,148.1945037841797,0.5417910447761194,670,
3,48.37,36.18133544921875,0.5274509803921569,510,
4,44.21,193.57296752929688,0.5967365967365967,429,
5,35.31,150.62242126464844,0.6682577565632458,419,
1,4.75,658.9918823242188,0.4623188405797101,690,
2,1.58,560.0869750976562,0.30844155844155846,924,
3,20.76,27.90768814086914,0.527027027027027,370,
4,-17.17,628.769775390625,0.3904109589041096,730,
5,-9.98,819.43359375,0.7515151515151515,330,
1,37.34,53.24112319946289,0.6721991701244814,241,
2,2.35,582.9634399414062,0.5429769392033543,477,
3,14.77,338.5677490234375,0.7551867219917012,241,
4,24.55,586.1522216796875,0.6775599128540305,459,
5,-11.23,464.1460266113281,0.7348484848484849,396,
1,10.03,47.395721435546875,0.5717948717948718,390,
2,23.9,107.42732238769531,0.5701492537313433,335,
3,24.58,21.873485565185547,0.5417867435158501,347,
4,4.85,286.4228515625,0.6740947075208914,359,
5,-29.84,771.6190185546875,0.6441102756892231,399,
1,-34.82,301.4161376953125,0.5672664952870609,1167,
2,11.04,140.1261444091797,0.7132075471698113,265,
3,-16.65,321.70220947265625,0.697986577181208,298,
4,-2.9,380.87310791015625,0.5769230769230769,572,
5,-21.69,422.3700256347656,0.7445544554455445,505,
1,-44.05,681.4181518554688,0.559375,640,
2,-64.89,847.1732177734375,0.48034934497816595,687,
3,-13.06,408.4677734375,0.6730310262529833,419,
4,-47.37,530.297119140625,0.4603174603174603,756,
